,layer_n,rep,story1,story2,story3,story_merged,condition
161,6,11,"Traditional medicines such as, antibiotics and penicillin are not as effective in treating infections and diseases. A main cause is that bacteria and viruses have adapted and evolved to become more resistant to the medication and is causing people to die even though they have taken the medications. In modern times another influential factor of disease is the lifestyle people live. People have access to a lot of harmful chemicals through food and drugs like nicotine that they are causing other health relate issues leading to death,","People used to die from infections and injuries. Now with the advent of penicillin people die from diseases due to lifestyle choices. Also, due to the use of so many antibiotics, bacteria has become resistant to it.","Antibiotics used to treat a lot of bacterial infections in the past. But since the rising of the usage of antibiotics, bacteria can develop resistance towards them, hence leading to an ineffectiveness of antibiotics. Instead of dying from infections, people nowadays die from other causes such as lifestyle and food intake.",The use of antibiotics has become more prevalent as the years have passed which has led to over prescribing of them and them becoming less effective to illness that are becoming immune to the drugs.  That being said people are dying more from lifestyle choices as opposed to antibiotics failure to work.,Multiple-pathway
162,1,13,"Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Lots of people died from infections prior to the invention of antibiotics.  The invention saved many lives that would have otherwise been lost.  It was a golden age that has now ended. Pharmaceutical companies have decided making new antibiotics aren't profitable enough.  Now worldwide 50,000 people a year die from drug resistant infections.  If nothing is done this number is expected to rise to 10 million a year by 2050.  Small steps we could take would be to not give your child an antibiotic for an ear infection unless you were sure it was the right one and to not buy produce that was raised with antibiotics.",Multiple-pathway
163,1,13,"Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","most old people didn't die of real diseases, but then antibiotics happened. It really changed the world on a huge scale because it let people live long enough to have full lives.",Multiple-pathway
164,1,13,"Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","People used to die more often from injuries that would lead to infections than they did from more modern illnesses such as heart disease and cancer. Antibiotics were developed with penicillin being first discovered by Fleming and then more being developed as the fight to be able to treat infections was fought. Eventually though, drug companies stopped investing in antibiotics as much and now we are very behind in development and many strains are now antibiotic resistant. Taking steps to overcome this issue could save countless lives as there are very high estimates already of the number of people dying globally from infections that can't be treated every year. ",Multiple-pathway
165,2,13,"Lots of people died from infections prior to the invention of antibiotics.  The invention saved many lives that would have otherwise been lost.  It was a golden age that has now ended. Pharmaceutical companies have decided making new antibiotics aren't profitable enough.  Now worldwide 50,000 people a year die from drug resistant infections.  If nothing is done this number is expected to rise to 10 million a year by 2050.  Small steps we could take would be to not give your child an antibiotic for an ear infection unless you were sure it was the right one and to not buy produce that was raised with antibiotics.","most old people didn't die of real diseases, but then antibiotics happened. It really changed the world on a huge scale because it let people live long enough to have full lives.","People used to die more often from injuries that would lead to infections than they did from more modern illnesses such as heart disease and cancer. Antibiotics were developed with penicillin being first discovered by Fleming and then more being developed as the fight to be able to treat infections was fought. Eventually though, drug companies stopped investing in antibiotics as much and now we are very behind in development and many strains are now antibiotic resistant. Taking steps to overcome this issue could save countless lives as there are very high estimates already of the number of people dying globally from infections that can't be treated every year. ","The original article likely started with information on the top causes of death before antibiotics were discovered. Little or none of the detailed causes seems to have survived in their summaries.  The discovery of antibiotics greatly improved our ability to treat many more health problems.  Unfortunately many infectious diseases are becoming antibiotic resistant, making it hard or impossible to treat the evolved versions.  The original article apparently blamed this on a lack of research investment. I don't know whether that is a justified and supported argument because none of the evidence made it into the summaries. ",Multiple-pathway
166,2,13,"Lots of people died from infections prior to the invention of antibiotics.  The invention saved many lives that would have otherwise been lost.  It was a golden age that has now ended. Pharmaceutical companies have decided making new antibiotics aren't profitable enough.  Now worldwide 50,000 people a year die from drug resistant infections.  If nothing is done this number is expected to rise to 10 million a year by 2050.  Small steps we could take would be to not give your child an antibiotic for an ear infection unless you were sure it was the right one and to not buy produce that was raised with antibiotics.","most old people didn't die of real diseases, but then antibiotics happened. It really changed the world on a huge scale because it let people live long enough to have full lives.","People used to die more often from injuries that would lead to infections than they did from more modern illnesses such as heart disease and cancer. Antibiotics were developed with penicillin being first discovered by Fleming and then more being developed as the fight to be able to treat infections was fought. Eventually though, drug companies stopped investing in antibiotics as much and now we are very behind in development and many strains are now antibiotic resistant. Taking steps to overcome this issue could save countless lives as there are very high estimates already of the number of people dying globally from infections that can't be treated every year. ","The invention of antibiotics helped thousand of lives from infection. However recently, most pharmaceutical company doesn't invest more in the development of antibiotics because they believe it isn't profitable enough. That resulted an increase of people dying from infection due to antibiotic resistant infections. ",Multiple-pathway
167,2,13,"Lots of people died from infections prior to the invention of antibiotics.  The invention saved many lives that would have otherwise been lost.  It was a golden age that has now ended. Pharmaceutical companies have decided making new antibiotics aren't profitable enough.  Now worldwide 50,000 people a year die from drug resistant infections.  If nothing is done this number is expected to rise to 10 million a year by 2050.  Small steps we could take would be to not give your child an antibiotic for an ear infection unless you were sure it was the right one and to not buy produce that was raised with antibiotics.","most old people didn't die of real diseases, but then antibiotics happened. It really changed the world on a huge scale because it let people live long enough to have full lives.","People used to die more often from injuries that would lead to infections than they did from more modern illnesses such as heart disease and cancer. Antibiotics were developed with penicillin being first discovered by Fleming and then more being developed as the fight to be able to treat infections was fought. Eventually though, drug companies stopped investing in antibiotics as much and now we are very behind in development and many strains are now antibiotic resistant. Taking steps to overcome this issue could save countless lives as there are very high estimates already of the number of people dying globally from infections that can't be treated every year. ","In the past, more people died of infections that of heart disease or cancer. The invention of penicillin by Fleming saved countless lives. Future inventions, such as antibiotics, saved even more lives. However, these days pharmaceutical companies put less priority on antibiotics. They believe it's not profitable enough. Production of antibiotics has lessened. It is estimated that by the year 2050, about 10 million people will have died to diseases that would've otherwise been treatable with antibiotics. Ways to combat the antibiotic shortage is to only take antibiotics when necessary. One could also avoid consuming products by livestock that have been fed antibiotics.",Multiple-pathway
168,3,13,"The original article likely started with information on the top causes of death before antibiotics were discovered. Little or none of the detailed causes seems to have survived in their summaries.  The discovery of antibiotics greatly improved our ability to treat many more health problems.  Unfortunately many infectious diseases are becoming antibiotic resistant, making it hard or impossible to treat the evolved versions.  The original article apparently blamed this on a lack of research investment. I don't know whether that is a justified and supported argument because none of the evidence made it into the summaries. ","The invention of antibiotics helped thousand of lives from infection. However recently, most pharmaceutical company doesn't invest more in the development of antibiotics because they believe it isn't profitable enough. That resulted an increase of people dying from infection due to antibiotic resistant infections. ","In the past, more people died of infections that of heart disease or cancer. The invention of penicillin by Fleming saved countless lives. Future inventions, such as antibiotics, saved even more lives. However, these days pharmaceutical companies put less priority on antibiotics. They believe it's not profitable enough. Production of antibiotics has lessened. It is estimated that by the year 2050, about 10 million people will have died to diseases that would've otherwise been treatable with antibiotics. Ways to combat the antibiotic shortage is to only take antibiotics when necessary. One could also avoid consuming products by livestock that have been fed antibiotics.","Antibiotics have helped saved countless lives, more than even Cancer and Heart Disease. These benefits started with Fleming's discover of Penicillin and improved with the countless antibiotics we have today. There is some controversy on whether or not Pharmaceutical companies are producing fewer antibiotics because they are not as profitable as other drugs, but what is known is that a lot of infectious diseases are becoming antibiotic-resistant. This will result in more deaths by infections in the future.",Multiple-pathway
169,3,13,"The original article likely started with information on the top causes of death before antibiotics were discovered. Little or none of the detailed causes seems to have survived in their summaries.  The discovery of antibiotics greatly improved our ability to treat many more health problems.  Unfortunately many infectious diseases are becoming antibiotic resistant, making it hard or impossible to treat the evolved versions.  The original article apparently blamed this on a lack of research investment. I don't know whether that is a justified and supported argument because none of the evidence made it into the summaries. ","The invention of antibiotics helped thousand of lives from infection. However recently, most pharmaceutical company doesn't invest more in the development of antibiotics because they believe it isn't profitable enough. That resulted an increase of people dying from infection due to antibiotic resistant infections. ","In the past, more people died of infections that of heart disease or cancer. The invention of penicillin by Fleming saved countless lives. Future inventions, such as antibiotics, saved even more lives. However, these days pharmaceutical companies put less priority on antibiotics. They believe it's not profitable enough. Production of antibiotics has lessened. It is estimated that by the year 2050, about 10 million people will have died to diseases that would've otherwise been treatable with antibiotics. Ways to combat the antibiotic shortage is to only take antibiotics when necessary. One could also avoid consuming products by livestock that have been fed antibiotics.",The article was saying how most of the antibiotics now are becoming anti-resistant. We should only take them occasionally and were suggesting avoiding animal products that are given antibiotics. ,Multiple-pathway
170,3,13,"The original article likely started with information on the top causes of death before antibiotics were discovered. Little or none of the detailed causes seems to have survived in their summaries.  The discovery of antibiotics greatly improved our ability to treat many more health problems.  Unfortunately many infectious diseases are becoming antibiotic resistant, making it hard or impossible to treat the evolved versions.  The original article apparently blamed this on a lack of research investment. I don't know whether that is a justified and supported argument because none of the evidence made it into the summaries. ","The invention of antibiotics helped thousand of lives from infection. However recently, most pharmaceutical company doesn't invest more in the development of antibiotics because they believe it isn't profitable enough. That resulted an increase of people dying from infection due to antibiotic resistant infections. ","In the past, more people died of infections that of heart disease or cancer. The invention of penicillin by Fleming saved countless lives. Future inventions, such as antibiotics, saved even more lives. However, these days pharmaceutical companies put less priority on antibiotics. They believe it's not profitable enough. Production of antibiotics has lessened. It is estimated that by the year 2050, about 10 million people will have died to diseases that would've otherwise been treatable with antibiotics. Ways to combat the antibiotic shortage is to only take antibiotics when necessary. One could also avoid consuming products by livestock that have been fed antibiotics.","People used to die of infections more than they did of heart disease or cancer. Then antibiotics came along. Now, unfortunately, pharmaceutical companies do not want to invest in antibiotics anymore due to diminished returns. Some time in the future, by perhaps 2050, more people will die of infections preventable by antibiotics. This lack of antibiotics must be addressed. Perhaps by subsidizing the production of antibiotics we can save lives in the future. One way to eat less antibiotics is to consume less livestock, which have been fed antibiotics.",Multiple-pathway
171,4,13,"People used to die of infections more than they did of heart disease or cancer. Then antibiotics came along. Now, unfortunately, pharmaceutical companies do not want to invest in antibiotics anymore due to diminished returns. Some time in the future, by perhaps 2050, more people will die of infections preventable by antibiotics. This lack of antibiotics must be addressed. Perhaps by subsidizing the production of antibiotics we can save lives in the future. One way to eat less antibiotics is to consume less livestock, which have been fed antibiotics.","Antibiotics have helped saved countless lives, more than even Cancer and Heart Disease. These benefits started with Fleming's discover of Penicillin and improved with the countless antibiotics we have today. There is some controversy on whether or not Pharmaceutical companies are producing fewer antibiotics because they are not as profitable as other drugs, but what is known is that a lot of infectious diseases are becoming antibiotic-resistant. This will result in more deaths by infections in the future.",The article was saying how most of the antibiotics now are becoming anti-resistant. We should only take them occasionally and were suggesting avoiding animal products that are given antibiotics. ,"Antibiotics have saved the lives of millions of people since Fleming's discovery of penicillin. Previously, infectious diseases killed more people than cancer or heart disease but penicillin was able to change that. However, now the overuse of antibiotics is leading to more diseases being antibiotic resistant. This could lead to an increase in deaths due to infections diseases even as soon as 2050. Livestock is often injected with antibiotics which leads to many people unknowingly ingesting antibiotics in their food. Reducing the amount of livestock you eat is one suggestion to perhaps reduce the amount of antibiotics people regularly consume.",Multiple-pathway
172,4,13,"People used to die of infections more than they did of heart disease or cancer. Then antibiotics came along. Now, unfortunately, pharmaceutical companies do not want to invest in antibiotics anymore due to diminished returns. Some time in the future, by perhaps 2050, more people will die of infections preventable by antibiotics. This lack of antibiotics must be addressed. Perhaps by subsidizing the production of antibiotics we can save lives in the future. One way to eat less antibiotics is to consume less livestock, which have been fed antibiotics.","Antibiotics have helped saved countless lives, more than even Cancer and Heart Disease. These benefits started with Fleming's discover of Penicillin and improved with the countless antibiotics we have today. There is some controversy on whether or not Pharmaceutical companies are producing fewer antibiotics because they are not as profitable as other drugs, but what is known is that a lot of infectious diseases are becoming antibiotic-resistant. This will result in more deaths by infections in the future.",The article was saying how most of the antibiotics now are becoming anti-resistant. We should only take them occasionally and were suggesting avoiding animal products that are given antibiotics. ,Before Fleming discovered penicillin there was no defense against bacterial infections and fatality rates were high. But eventually bacteria evolved into a strain that was resistant to antibiotics. This battle between antibiotics and evolving bacteria led to defeatism among scientists considering the war as a lost cause. This must change.,Multiple-pathway
